,0
0,Авиамоторная
1,Автозаводская
2,Академическая
3,Александровский сад
4,Алексеевская
5,Алма-Атинская
6,Алтуфьево
7,Аминьевское шоссе
8,Андроновка
9,Аникеевка
10,Аннино
11,Арбатская
12,Аэропорт
13,Бабушкинская
14,Багратионовская
15,Балтийская
16,Баррикадная
17,Бауманская
18,Беговая
19,Белокаменная
20,Беломорская
21,Белорусская
22,Беляево
23,Бескудниково
24,Бибирево
25,Библиотека им. Ленина
26,Битцевский парк
27,Борисово
28,Боровицкая
29,Боровское шоссе
30,Ботанический сад
31,Братиславская
32,Бульвар Адмирала Ушакова
33,Бульвар Дмитрия Донского
34,Бульвар Рокоссовского
35,Бунинская аллея
36,Бутово
37,Бутырская
38,ВДНХ
39,Варшавская
40,Верхние Лихоборы
41,Верхние котлы
42,Владыкино
43,Водный стадион
44,Войковская
45,Волгоградский проспект
46,Волжская
47,Волоколамская
48,Воробьевы горы
49,Воронцовская
50,Выставочная
51,Выставочный центр
52,Выхино
53,Говорово
54,Гражданская
55,Давыдково
56,Дегунино
57,Деловой центр
58,Депо
59,Динамо
60,Дмитровская
61,Добрынинская
62,Долгопрудная
63,Домодедовская
64,Достоевская
65,Дубровка
66,Жулебино
67,ЗИЛ
68,Зорге
69,Зябликово
70,Измайлово
71,Измайловская
72,Калитники
73,Калужская
74,Кантемировская
75,Каховская
76,Каширская
77,Киевская
78,Китай-город
79,Кожуховская
80,Коломенская
81,Коммунарка
82,Комсомольская
83,Коньково
84,Коптево
85,Котельники
86,Красногвардейская
87,Краснопресненская
88,Красносельская
89,Красные ворота
90,Красный Балтиец
91,Красный Строитель
92,Крестьянская застава
93,Кропоткинская
94,Крылатское
95,Крымская
96,Кузнецкий мост
97,Кузьминки
98,Кунцевская
99,Курская
100,Курьяново
101,Кутузовская
102,Ленинский проспект
103,Лермонтовский проспект
104,Лесопарковая
105,Лефортово
106,Лианозово
107,Лихоборы
108,Лобня
109,Локомотив
110,Ломоносовский проспект
111,Лубянка
112,Лужники
113,Лухмановская
114,Люблино
115,Марк
116,Марксистская
117,Марьина роща
118,Марьино
119,Маяковская
120,Медведково
121,Международная
122,Менделеевская
123,Минская
124,Митино
125,Мичуринский проспект
126,Мневники
127,Молодежная
128,Москва-Товарная
129,Москворечье
130,Нагатинская
131,Нагорная
132,Народное ополчение
133,Нахимовский проспект
134,Некрасовка
135,Нижегородская
136,Новогиреево
137,Новодачная
138,Новокосино
139,Новокузнецкая
140,Новопеределкино
141,Новослободская
142,Новохохловская
143,Новоясеневская
144,Новые Черемушки
145,Одинцово
146,Озерная
147,Окружная
148,Окская
149,Октябрьская
150,Октябрьское поле
151,Ольховая
152,Орехово
153,Остафьево
154,Отрадное
155,Охотный ряд
156,Павелецкая
157,Панфиловская
158,Парк Культуры
159,Парк Победы
160,Партизанская
161,Первомайская
162,Перерва
163,Перово
164,Петровский Парк
165,Петровско-Разумовская
166,Печатники
167,Пионерская
168,Планерная
169,Площадь Гагарина
170,Площадь Ильича
171,Площадь Революции
172,Подольск
173,Покровское
174,Покровское-Стрешнево
175,Полежаевская
176,Полянка
177,Пражская
178,Преображенская площадь
179,Прокшино
180,Пролетарская
181,Проспект Вернадского
182,Проспект Мира
183,Профсоюзная
184,Пушкинская
185,Пятницкое шоссе
186,Рабочий поселок
187,Раменки
188,Рассказовка
189,Речной вокзал
190,Рижская
191,Римская
192,Ростокино
193,Румянцево
194,Рязанский проспект
195,Савеловская
196,Саларьево
197,Свиблово
198,Севастопольская
199,Селигерская
200,Семеновская
201,Серпуховская
202,Сетунь
203,Силикатная
204,Славянский бульвар
205,Смоленская
206,Сокол
207,Соколиная гора
208,Сокольники
209,Солнцево
210,Спартак
211,Спортивная
212,Сретенский бульвар
213,Стахановская
214,Строгино
215,Студенческая
216,Сухаревская
217,Сходненская
218,Таганская
219,Тверская
220,Театральная
221,Текстильщики
222,Теплый Стан
223,Тестовская
224,Технопарк
225,Тимирязевская
226,Третьяковская
227,Трикотажная
228,Тропарево
229,Трубная
230,Тульская
231,Тургеневская
232,Тушинская
233,Угрешская
234,Улица 1905 года
235,Улица 800-летия Москвы
236,Улица Академика Королева
237,Улица Академика Янгеля
238,Улица Горчакова
239,Улица Дмитриевского
240,Улица Милашенкова
241,Улица Сергея Эйзенштейна
242,Улица Скобелевская
243,Улица Старокачаловская
244,Университет
245,Филатов Луг
