Ссылка,Метро,Время до метро,Количество комнат,Общая площадь,Жилая площадь,Этаж,Этажность дома,Срок сдачи,Тип жилья,Высота потолков,Ванная,Вид из окна,Цена
https://www.cian.ru/sale/flat/250039498/,Международная,3.0,,454.0,,94,95,2017.0,Вторичка Апартаменты,,"1 совмещенный, 1 раздельный",На улицу,490000000
https://www.cian.ru/sale/flat/256280788/,Щукинская,5.0,,560.0,325.0,4,31,2008.0,Вторичка,,,,243300525
https://www.cian.ru/sale/flat/249890041/,Семеновская,3.0,1.0,35.4,20.0,2,9,1971.0,Вторичка,2.64,1 совмещенный,Во двор,7997000
https://www.cian.ru/sale/flat/256429417/,Мичуринский проспект,34.0,2.0,44.5,,2,28,2022.0,Новостройка,,1 совмещенный,,11950000
https://www.cian.ru/sale/flat/256459729/,Мичуринский проспект,10.0,1.0,48.0,19.9,18,25,2011.0,Вторичка,2.7,1 совмещенный,На улицу,16500000
https://www.cian.ru/sale/flat/253727384/,Киевская,12.0,4.0,348.7,,5,13,,Вторичка,,1 совмещенный,,300199160
https://www.cian.ru/sale/flat/256403725/,Шелепиха,16.0,1.0,35.0,16.0,3,25,,Вторичка Апартаменты,3.0,1 совмещенный,Во двор,10550000
https://www.cian.ru/sale/flat/229202231/,Октябрьская,,,308.0,188.0,18,20,2006.0,Вторичка,4.2,4 совмещенных,,291960630
https://www.cian.ru/sale/flat/256464377/,Ботанический сад,3.0,1.0,27.76,20.0,13,25,,Вторичка Апартаменты,3.0,1 совмещенный,На улицу,9300000
https://www.cian.ru/sale/flat/256280842/,Шаболовская,9.0,,602.0,,18,21,2006.0,Вторичка Пентхаус,3.1,,,296549200
https://www.cian.ru/sale/flat/253278431/,Достоевская,10.0,4.0,211.0,88.0,11,12,,Вторичка Пентхаус,,"2 совмещенных, 1 раздельный",На улицу и двор,250000000
https://www.cian.ru/sale/flat/241094648/,Арбатская,11.0,4.0,273.6,,5,8,,Вторичка,,3 совмещенных,,524031900
https://www.cian.ru/sale/flat/255623315/,Кропоткинская,19.0,,435.0,,5,5,,Вторичка,3.3,"4 совмещенных, 1 раздельный",,1030508469
https://www.cian.ru/sale/flat/221763349/,Водный стадион,,4.0,200.0,119.0,3,6,2005.0,Вторичка,,2 совмещенных,Во двор,132000000
https://www.cian.ru/sale/flat/256398803/,Водный стадион,12.0,2.0,41.8,30.0,22,23,2016.0,Вторичка,,1 раздельный,,15700000
https://www.cian.ru/sale/flat/248589046/,Бауманская,2.0,1.0,59.3,,3,12,2021.0,Новостройка Апартаменты,,,,23864810
https://www.cian.ru/sale/flat/256472828/,Дмитровская,10.0,1.0,28.7,16.5,8,47,2017.0,Вторичка,2.9,1 совмещенный,Во двор,11600000
https://www.cian.ru/sale/flat/256418441/,Улица 1905 года,,4.0,120.0,75.0,20,22,,Вторичка,2.7,2 совмещенных,На улицу и двор,58353229
https://www.cian.ru/sale/flat/252629308/,Войковская,2.0,3.0,56.0,38.0,4,9,,Вторичка,,1 раздельный,Во двор,14000000
https://www.cian.ru/sale/flat/222411926/,Шелепиха,10.0,2.0,57.0,25.0,33,36,,Вторичка,,,Во двор,20200000
